Input_result_folder,Input_sample_name,IP_result_folder,IP_sample_name,Pair_name
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_33_S33_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_49_S49_L001,C1
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_34_S34_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_50_S50_L001,C2
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_35_S35_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_51_S51_L001,C3
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_37_S37_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_53_S53_L001,C5
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_38_S38_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_54_S54_L001,C6
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_40_S40_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_56_S56_L001,C8
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_43_S43_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_59_S59_L001,A3
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_44_S44_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_60_S60_L001,A4
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_45_S45_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_61_S61_L001,A5
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_46_S46_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_62_S62_L001,A6
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_47_S47_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_63_S63_L001,A7
/restricted/projectnb/ncrna/minty/EP4/input/result/,WB_LJ_PS_EX2_48_S48_L001,/restricted/projectnb/ncrna/minty/EP4/elute/result/,WB_LJ_PS_EX2_64_S64_L001,A8
